config_case_key;config_case_label;input_hot_variation_C;input_m6_kg_s;input_outer_variation_label;input_outer_variation_mode;input_outer_variation_value;input_ua_scale_factor;input_ua_scale_percent;primary_beta;heat_Q_abs_kW;heat_Q_cond_kW;heat_Q_des_kW;heat_Q_evap_kW;kpi_COP;kpi_FR;state_21_m_kg_s;state_7_m_kg_s;n_feasible_physical_points;optimum_at_any_m6_boundary;optimum_at_lower_m6_boundary;optimum_at_upper_m6_boundary
parallel;Parallel (T13 = T15);135.0;0.6800000000000003;Abwärmetemperatur [°C];hot_temperature_C;135.0;nan;nan;0.10208580748139881;256.5892251796569;251.9217530191822;257.6734821912527;250.77974974915688;0.5046466598322834;6.574757564145056;0.09286755366348563;0.10342586678911614;71;False;False;False
series_desorber_to_evaporator;Serie Desorber → Verdampfer;135.0;0.8100000000000004;Abwärmetemperatur [°C];hot_temperature_C;135.0;nan;nan;0.10919521889593181;257.77958093388986;252.33756930884599;260.2159907055772;249.8433428314149;0.5053913613271708;7.844826705842537;0.09197805123686294;0.10325275884000629;71;False;False;False
series_evaporator_to_desorber;Serie Verdampfer → Desorber;135.0;0.7200000000000003;Abwärmetemperatur [°C];hot_temperature_C;135.0;nan;nan;0.10468814298542314;255.3894269350845;255.47308489513526;255.14779926447227;255.6419025544503;0.49998938119864694;6.841209036837375;0.09422669788036461;0.10524455489125784;71;False;False;False
