config_case_key;config_case_label;input_hot_variation_C;input_m6_kg_s;input_outer_variation_label;input_outer_variation_mode;input_outer_variation_value;input_ua_scale_factor;input_ua_scale_percent;primary_beta;heat_Q_abs_kW;heat_Q_cond_kW;heat_Q_des_kW;heat_Q_evap_kW;kpi_COP;kpi_FR;state_21_m_kg_s;state_7_m_kg_s;n_feasible_physical_points;optimum_at_any_m6_boundary;optimum_at_lower_m6_boundary;optimum_at_upper_m6_boundary
parallel;Parallel (T13 = T15);140.0;0.6900000000000003;Abwärmetemperatur [°C];hot_temperature_C;140.0;nan;nan;0.10107034663385223;279.52449846216655;274.20981834472985;280.78220297890397;272.88737878386945;0.5048579652366243;6.1101603837488385;0.1015131227115328;0.1129266593124445;71;False;False;False
series_desorber_to_evaporator;Serie Desorber → Verdampfer;140.0;0.8400000000000004;Abwärmetemperatur [°C];hot_temperature_C;140.0;nan;nan;0.10889434580876221;280.9947389609038;274.73187638263676;283.8887943342048;271.7727668475563;0.5056940385858153;7.452123727970843;0.10044502437756207;0.11271954555010133;71;False;False;False
series_evaporator_to_desorber;Serie Verdampfer → Desorber;140.0;0.7400000000000003;Abwärmetemperatur [°C];hot_temperature_C;140.0;nan;nan;0.1038783341594627;278.14094320548855;278.4372839839108;277.87718835440717;278.61757076006916;0.499808737908118;6.429657731767372;0.10313613265067502;0.11509166286470285;71;False;False;False
